t,y,y1,y2
0.00679929999999995,0.185546875,0.185546875,0.185546875
0.0111207000000002,0.185546875,0.185546875,0.185546875
0.0167003000000001,0.185546875,0.185546875,0.185546875
0.0202852,0.185546875,0.185546875,0.185546875
0.0238925999999999,0.185546875,0.185546875,0.185546875
0.0275457000000001,0.185546875,0.185546875,0.185546875
0.028762,73.6279296875,86.8017578125,82.9443359375
0.0319023999999999,-13.1396484375,-54.3603515625,-28.9892578125
0.0333641999999998,-13.4814453125,-54.2626953125,-32.1142578125
0.0345043,-13.2861328125,-55.2880859375,-35.7763671875
0.0355799999999999,-13.6767578125,-56.0205078125,-40.9521484375
0.0366515000000001,-13.6767578125,-56.6064453125,-43.7353515625
0.0378634999999998,-13.4814453125,-55.4833984375,-39.0966796875
0.0388693,-14.3603515625,-53.5791015625,-21.3232421875
0.0400130999999999,-15.1904296875,-52.9931640625,-1.4013671875
0.0416432000000002,-15.6298828125,-52.6025390625,10.2197265625
0.0426389,-16.3623046875,-53.2373046875,13.3935546875
0.0444062999999999,-17.1923828125,-52.8466796875,10.6103515625
0.0454583,-17.7294921875,-53.1884765625,4.6044921875
0.0478881000000002,-18.5595703125,-54.1162109375,-3.9404296875
0.0498892,-18.0712890625,-53.7744140625,-11.2158203125
0.0517839000000002,-16.1669921875,-54.1650390625,-16.0009765625
0.0531207999999999,-13.3349609375,-54.5068359375,-17.5146484375
0.0546228000000002,-11.4306640625,-54.8974609375,-17.3193359375
0.0562773999999999,-11.2841796875,-54.9462890625,-17.1240234375
0.0575477000000002,-11.5283203125,-55.3857421875,-18.2958984375
0.0590833000000002,-11.9189453125,-56.2646484375,-20.1025390625
0.0600860000000001,-12.4072265625,-56.6064453125,-22.8369140625
0.0619961,-13.5791015625,-56.5576171875,-26.0595703125
0.0636698,-13.6767578125,-58.0224609375,-30.0146484375
0.0655329999999998,-13.4814453125,-59.0478515625,-33.1396484375
0.0668228000000002,-13.9697265625,-59.1943359375,-37.0947265625
